"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF","27",0.666,0.631,0.594,0.666
2015,"MUNICIPIO","2700102",NA,0.549,NA,NA
2015,"MUNICIPIO","2700201",NA,0.568,NA,NA
2015,"MUNICIPIO","2700300",NA,0.649,NA,NA
2015,"MUNICIPIO","2700409",NA,0.561,NA,NA
2015,"MUNICIPIO","2700508",NA,0.557,NA,NA
2015,"MUNICIPIO","2700607",NA,0.615,NA,NA
2015,"MUNICIPIO","2700706",NA,0.594,NA,NA
2015,"MUNICIPIO","2700805",NA,0.593,NA,NA
2015,"MUNICIPIO","2700904",NA,0.517,NA,NA
2015,"MUNICIPIO","2701001",NA,0.604,NA,NA
2015,"MUNICIPIO","2701100",NA,0.513,NA,NA
2015,"MUNICIPIO","2701209",NA,0.531,NA,NA
2015,"MUNICIPIO","2701308",NA,0.562,NA,NA
2015,"MUNICIPIO","2701357",NA,0.559,NA,NA
2015,"MUNICIPIO","2701407",NA,0.57,NA,NA
2015,"MUNICIPIO","2701506",NA,0.524,NA,NA
2015,"MUNICIPIO","2701605",NA,0.506,NA,NA
2015,"MUNICIPIO","2701704",NA,0.573,NA,NA
2015,"MUNICIPIO","2701803",NA,0.526,NA,NA
2015,"MUNICIPIO","2701902",NA,0.575,NA,NA
2015,"MUNICIPIO","2702009",NA,0.533,NA,NA
2015,"MUNICIPIO","2702108",NA,0.517,NA,NA
2015,"MUNICIPIO","2702207",NA,0.586,NA,NA
2015,"MUNICIPIO","2702306",NA,0.626,NA,NA
2015,"MUNICIPIO","2702355",NA,0.525,NA,NA
2015,"MUNICIPIO","2702405",NA,0.612,NA,NA
2015,"MUNICIPIO","2702504",NA,0.532,NA,NA
2015,"MUNICIPIO","2702553",NA,0.534,NA,NA
2015,"MUNICIPIO","2702603",NA,0.533,NA,NA
2015,"MUNICIPIO","2702702",NA,0.565,NA,NA
2015,"MUNICIPIO","2702801",NA,0.527,NA,NA
2015,"MUNICIPIO","2702900",NA,0.536,NA,NA
2015,"MUNICIPIO","2703007",NA,0.518,NA,NA
2015,"MUNICIPIO","2703106",NA,0.564,NA,NA
2015,"MUNICIPIO","2703205",NA,0.568,NA,NA
2015,"MUNICIPIO","2703304",NA,0.484,NA,NA
2015,"MUNICIPIO","2703403",NA,0.583,NA,NA
2015,"MUNICIPIO","2703502",NA,0.548,NA,NA
2015,"MUNICIPIO","2703601",NA,0.57,NA,NA
2015,"MUNICIPIO","2703700",NA,0.552,NA,NA
2015,"MUNICIPIO","2703759",NA,0.556,NA,NA
2015,"MUNICIPIO","2703809",NA,0.531,NA,NA
2015,"MUNICIPIO","2703908",NA,0.562,NA,NA
2015,"MUNICIPIO","2704005",NA,0.575,NA,NA
2015,"MUNICIPIO","2704104",NA,0.552,NA,NA
2015,"MUNICIPIO","2704203",NA,0.58,NA,NA
2015,"MUNICIPIO","2704302",NA,0.721,NA,NA
2015,"MUNICIPIO","2704401",NA,0.566,NA,NA
2015,"MUNICIPIO","2704500",NA,0.577,NA,NA
2015,"MUNICIPIO","2704609",NA,0.574,NA,NA
2015,"MUNICIPIO","2704708",NA,0.569,NA,NA
2015,"MUNICIPIO","2704807",NA,0.642,NA,NA
2015,"MUNICIPIO","2704906",NA,0.597,NA,NA
2015,"MUNICIPIO","2705002",NA,0.504,NA,NA
2015,"MUNICIPIO","2705101",NA,0.584,NA,NA
2015,"MUNICIPIO","2705200",NA,0.568,NA,NA
2015,"MUNICIPIO","2705309",NA,0.563,NA,NA
2015,"MUNICIPIO","2705408",NA,0.539,NA,NA
2015,"MUNICIPIO","2705507",NA,0.527,NA,NA
2015,"MUNICIPIO","2705606",NA,0.521,NA,NA
2015,"MUNICIPIO","2705705",NA,0.565,NA,NA
2015,"MUNICIPIO","2705804",NA,0.525,NA,NA
2015,"MUNICIPIO","2705903",NA,0.503,NA,NA
2015,"MUNICIPIO","2706000",NA,0.493,NA,NA
2015,"MUNICIPIO","2706109",NA,0.547,NA,NA
2015,"MUNICIPIO","2706208",NA,0.558,NA,NA
2015,"MUNICIPIO","2706307",NA,0.638,NA,NA
2015,"MUNICIPIO","2706406",NA,0.593,NA,NA
2015,"MUNICIPIO","2706422",NA,0.548,NA,NA
2015,"MUNICIPIO","2706448",NA,0.605,NA,NA
2015,"MUNICIPIO","2706505",NA,0.533,NA,NA
2015,"MUNICIPIO","2706604",NA,0.589,NA,NA
2015,"MUNICIPIO","2706703",NA,0.63,NA,NA
2015,"MUNICIPIO","2706802",NA,0.572,NA,NA
2015,"MUNICIPIO","2706901",NA,0.61,NA,NA
2015,"MUNICIPIO","2707008",NA,0.574,NA,NA
2015,"MUNICIPIO","2707107",NA,0.589,NA,NA
2015,"MUNICIPIO","2707206",NA,0.526,NA,NA
2015,"MUNICIPIO","2707305",NA,0.586,NA,NA
2015,"MUNICIPIO","2707404",NA,0.541,NA,NA
2015,"MUNICIPIO","2707503",NA,0.551,NA,NA
2015,"MUNICIPIO","2707602",NA,0.559,NA,NA
2015,"MUNICIPIO","2707701",NA,0.643,NA,NA
2015,"MUNICIPIO","2707800",NA,0.505,NA,NA
2015,"MUNICIPIO","2707909",NA,0.597,NA,NA
2015,"MUNICIPIO","2708006",NA,0.591,NA,NA
2015,"MUNICIPIO","2708105",NA,0.519,NA,NA
2015,"MUNICIPIO","2708204",NA,0.572,NA,NA
2015,"MUNICIPIO","2708303",NA,0.573,NA,NA
2015,"MUNICIPIO","2708402",NA,0.527,NA,NA
2015,"MUNICIPIO","2708501",NA,0.536,NA,NA
2015,"MUNICIPIO","2708600",NA,0.623,NA,NA
2015,"MUNICIPIO","2708709",NA,0.591,NA,NA
2015,"MUNICIPIO","2708808",NA,0.549,NA,NA
2015,"MUNICIPIO","2708907",NA,0.66,NA,NA
2015,"MUNICIPIO","2708956",NA,0.518,NA,NA
2015,"MUNICIPIO","2709004",NA,0.555,NA,NA
2015,"MUNICIPIO","2709103",NA,0.541,NA,NA
2015,"MUNICIPIO","2709152",NA,0.564,NA,NA
2015,"MUNICIPIO","2709202",NA,0.532,NA,NA
2015,"MUNICIPIO","2709301",NA,0.593,NA,NA
2015,"MUNICIPIO","2709400",NA,0.586,NA,NA
