"CODMUNRES","ANO","NIVEL","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
27,2015,"UF","3340932",3120494,1511767,1608727,910361,1688164,484210,448872,875040,262591
2700102,2015,"MUNICIPIO","20434",19377,9655,9722,6307,9593,3157,3098,4780,1654
2700201,2015,"MUNICIPIO","17847",17424,8569,8855,5096,9166,2906,2502,4644,1578
2700300,2015,"MUNICIPIO","231053",214006,101884,112122,58838,118565,34232,29232,62540,18985
2700409,2015,"MUNICIPIO","47298",44322,22209,22113,14700,22931,6268,7241,11429,3211
2700508,2015,"MUNICIPIO","15742",14230,7077,7153,4633,7614,1868,2285,3851,962
2700607,2015,"MUNICIPIO","8266",7574,3763,3811,2286,4337,902,1143,2167,468
2700706,2015,"MUNICIPIO","18496",17076,8386,8690,5133,9135,2593,2528,4647,1388
2700805,2015,"MUNICIPIO","4585",4551,2222,2329,1239,2382,843,613,1206,464
2700904,2015,"MUNICIPIO","6775",7030,3550,3480,2186,3676,1083,1124,1781,534
2701001,2015,"MUNICIPIO","27399",25776,12769,13007,7835,13729,3926,3852,6999,1997
2701100,2015,"MUNICIPIO","10745",10583,5379,5204,3554,5424,1521,1760,2664,739
2701209,2015,"MUNICIPIO","10818",10195,5048,5147,3090,5130,1791,1489,2581,980
2701308,2015,"MUNICIPIO","21355",20409,10078,10331,6719,10668,2806,3283,5442,1503
2701357,2015,"MUNICIPIO","6978",6598,3288,3310,2241,3361,927,1109,1700,470
2701407,2015,"MUNICIPIO","56430",50816,25025,25791,16380,27966,6182,8181,14291,3174
2701506,2015,"MUNICIPIO","9664",9032,4437,4595,2786,4683,1449,1396,2380,748
2701605,2015,"MUNICIPIO","17976",17250,8662,8588,6127,8252,2632,3041,4083,1336
2701704,2015,"MUNICIPIO","17507",17077,8430,8647,5580,8673,2569,2769,4432,1315
2701803,2015,"MUNICIPIO","8969",8290,4058,4232,3000,4057,1110,1509,2056,607
2701902,2015,"MUNICIPIO","7421",7146,3644,3502,2409,3585,1069,1156,1741,561
2702009,2015,"MUNICIPIO","10992",10926,5422,5504,3263,5601,1911,1581,2843,1012
2702108,2015,"MUNICIPIO","21636",20019,10073,9946,6684,10152,2945,3291,5058,1480
2702207,2015,"MUNICIPIO","5870",5526,2756,2770,1569,2985,897,767,1483,473
2702306,2015,"MUNICIPIO","56631",52130,25748,26382,15996,28734,6916,7870,14660,3583
2702355,2015,"MUNICIPIO","24288",22641,11157,11484,7081,11706,3580,3531,5934,1869
2702405,2015,"MUNICIPIO","51997",48096,23052,25044,13957,25568,7897,6853,13441,4346
2702504,2015,"MUNICIPIO","11224",10880,5454,5426,3404,5563,1756,1635,2811,907
2702553,2015,"MUNICIPIO","18306",17251,8404,8847,4847,8566,3518,2394,4387,1890
2702603,2015,"MUNICIPIO","22432",21321,10561,10760,6465,11164,3407,3168,5624,1818
2702702,2015,"MUNICIPIO","4746",4345,2131,2214,1327,2323,646,675,1173,344
2702801,2015,"MUNICIPIO","12917",12325,6232,6093,4108,6243,1828,2026,3127,867
2702900,2015,"MUNICIPIO","40519",36600,18165,18435,11647,19120,5422,5763,9667,2792
2703007,2015,"MUNICIPIO","15803",15149,7573,7576,5136,7419,2357,2531,3705,1224
2703106,2015,"MUNICIPIO","26041",25188,12270,12918,7269,12822,4677,3568,6657,2452
2703205,2015,"MUNICIPIO","24575",23292,11747,11545,6723,12497,3637,3307,6126,1871
