"CODMUNRES","ANO","NIVEL","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
27,2015,"UF",19756,0,0,2986,16770,913,2314,5806,1990,5747,11305,8439,1072,NA,546,435,111,219,5,58,7,NA,366,4,39,5,2,2,25,5,34,31,1,7,9,4,NA,NA
270000,2015,"MUNICIPIO",3,0,0,1,2,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270010,2015,"MUNICIPIO",126,0,0,17,109,2,21,38,12,36,70,56,5,NA,3,2,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270020,2015,"MUNICIPIO",120,0,0,20,100,8,13,29,11,39,80,40,11,NA,3,3,NA,2,NA,NA,NA,NA,3,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA
270030,2015,"MUNICIPIO",1512,0,0,242,1270,63,172,407,128,500,885,626,72,NA,39,26,13,14,NA,3,NA,NA,28,NA,3,NA,NA,1,2,NA,3,3,NA,2,NA,1,NA,NA
270040,2015,"MUNICIPIO",226,0,0,35,191,9,25,67,21,69,140,85,14,NA,8,7,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270050,2015,"MUNICIPIO",87,0,0,20,67,NA,12,21,11,23,46,41,8,NA,4,4,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270060,2015,"MUNICIPIO",33,0,0,7,26,1,4,13,2,6,19,14,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270070,2015,"MUNICIPIO",139,0,0,17,122,6,25,43,11,37,75,64,10,NA,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270080,2015,"MUNICIPIO",30,0,0,5,25,1,6,8,3,7,20,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270090,2015,"MUNICIPIO",32,0,0,3,29,NA,4,11,1,13,26,6,1,NA,3,2,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270100,2015,"MUNICIPIO",146,0,0,30,116,3,14,56,13,30,95,51,7,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270110,2015,"MUNICIPIO",61,0,0,11,50,3,2,17,8,20,37,24,4,NA,5,4,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270120,2015,"MUNICIPIO",67,0,0,8,59,4,4,27,8,16,32,35,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270130,2015,"MUNICIPIO",120,0,0,26,94,12,3,38,11,30,70,50,8,NA,3,2,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270135,2015,"MUNICIPIO",36,0,0,5,31,NA,5,16,4,6,22,14,5,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270140,2015,"MUNICIPIO",167,0,0,27,140,6,14,48,17,55,101,66,8,NA,6,4,2,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA
270150,2015,"MUNICIPIO",56,0,0,7,49,2,4,18,3,22,27,29,4,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270160,2015,"MUNICIPIO",114,0,0,16,98,3,18,40,11,26,63,51,9,NA,7,6,1,1,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270170,2015,"MUNICIPIO",95,0,0,13,82,6,5,26,13,32,58,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270180,2015,"MUNICIPIO",46,0,0,4,42,1,3,17,7,14,23,23,1,NA,2,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270190,2015,"MUNICIPIO",34,0,0,5,29,NA,2,17,2,8,19,15,4,NA,2,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
270200,2015,"MUNICIPIO",63,0,0,11,52,1,7,13,7,24,37,26,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270210,2015,"MUNICIPIO",113,0,0,17,96,10,9,28,15,34,73,40,5,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA
270220,2015,"MUNICIPIO",36,0,0,6,30,1,1,16,2,10,19,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA
270230,2015,"MUNICIPIO",329,0,0,61,268,15,37,89,26,101,190,139,15,NA,11,9,2,8,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270235,2015,"MUNICIPIO",119,0,0,11,108,5,11,35,8,49,68,51,4,NA,7,5,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270240,2015,"MUNICIPIO",280,0,0,32,248,12,33,76,27,100,150,130,19,NA,10,7,3,5,NA,3,NA,NA,6,NA,3,NA,NA,NA,3,NA,3,3,NA,2,NA,1,NA,NA
270250,2015,"MUNICIPIO",61,0,0,5,56,1,10,24,7,14,39,22,3,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270255,2015,"MUNICIPIO",115,0,0,13,102,4,14,39,16,29,70,45,11,NA,4,1,3,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270260,2015,"MUNICIPIO",124,0,0,24,100,4,16,38,10,32,73,51,4,NA,4,3,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270270,2015,"MUNICIPIO",24,0,0,3,21,2,2,4,6,7,15,9,2,NA,3,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270280,2015,"MUNICIPIO",81,0,0,15,66,2,13,20,9,22,47,33,4,NA,4,3,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270290,2015,"MUNICIPIO",190,0,0,28,162,4,21,61,12,64,119,71,5,NA,7,5,2,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270300,2015,"MUNICIPIO",104,0,0,14,90,5,18,26,7,34,59,45,4,NA,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270310,2015,"MUNICIPIO",184,0,0,22,162,9,20,53,15,65,105,79,8,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
270320,2015,"MUNICIPIO",148,0,0,14,134,2,14,49,9,60,87,61,4,NA,7,5,2,1,NA,1,NA,NA,5,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
270330,2015,"MUNICIPIO",118,0,0,16,102,9,9,45,11,28,57,61,4,NA,2,2,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270340,2015,"MUNICIPIO",29,0,0,5,24,1,6,8,NA,9,15,14,2,NA,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270350,2015,"MUNICIPIO",36,0,0,6,30,2,3,13,NA,12,29,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270360,2015,"MUNICIPIO",46,0,0,7,39,2,6,13,4,14,28,18,4,NA,3,2,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
