"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"UF",27,52257,0,40436,827,12918,14148,11541,8012,3834,909,59,9,51421,19,24,29,24.71,6.62,1003,6081,19302,19128,2192,3778,3616,485,48,45638,127,13818,38439,20776,31481,51223,884,33,242,484,4789,39944,2466,5548,39944,2466,38,39,40,38.66,2.36,215,11512,5446,5903,23325,22977,29280,24627,27525,49480,1736,42,12104,3856,12690,2479,9254,767,815,876,42,4819,51936,179,101,41,0,26691,25549,3623,485,48,45664,127,4022,44908,3316,2940,3250,3570,3219.59,582.72,3266,36809,6004,396,48762,9.18,0.72,332,47043
2015,"MUNICIPIO",270010,335,0,172,8,71,94,68,47,40,7,0,0,327,20,24,30,25.36,6.92,7,67,132,106,6,15,3,2,0,312,4,88,247,124,211,329,5,1,1,4,21,260,29,27,260,29,38,39,40,39.1,39.1,0,99,28,40,144,269,66,198,136,323,7,0,79,27,102,29,40,2,5,5,0,25,330,4,1,0,0,158,177,3,2,0,312,4,16,297,22,3000,3290,3577.5,3265.44,512.34,25,231,37,6,187,9.1,0.86,2,313
2015,"MUNICIPIO",270020,227,0,206,2,60,77,38,25,21,4,0,0,225,19,23,28,24.19,6.68,14,39,95,71,2,5,5,2,0,219,0,63,164,78,149,222,2,1,3,0,26,172,14,30,172,14,38,39,40,38.51,38.51,3,60,33,26,94,219,8,138,87,214,7,0,58,8,87,2,28,2,3,2,0,25,219,0,2,6,0,121,106,5,2,0,219,0,19,193,15,2965,3245,3580,3230.33,564.06,10,175,26,3,212,9.48,0.77,2,220
2015,"MUNICIPIO",270030,4204,0,2202,43,851,1074,1026,771,338,88,11,2,4159,20,25,30,25.63,6.67,68,404,1563,1501,243,375,46,5,3,4119,2,453,3751,1861,2343,4075,88,3,27,45,364,2570,204,439,2570,204,38,39,40,38.47,38.47,1,582,447,387,2029,92,4112,1487,2716,3746,373,3,884,154,741,58,561,177,178,87,3,357,4194,3,7,0,0,2108,2093,46,5,3,4119,2,409,3603,191,2870,3180,3505,3125.94,650.69,284,2373,352,44,4148,9.01,0.65,13,2815
2015,"MUNICIPIO",270040,729,0,375,26,215,195,131,98,45,19,0,0,703,18,22,29,23.84,6.77,21,106,292,253,13,21,42,14,0,645,1,359,370,221,508,709,18,0,3,4,75,521,52,82,521,52,38,39,40,38.85,38.85,5,202,69,92,317,450,279,430,299,698,12,1,153,19,268,14,100,3,4,17,1,70,728,0,1,0,0,363,366,42,14,0,645,1,52,631,45,2950,3272.5,3555,3229.41,542.34,50,492,74,2,428,9.24,0.66,4,712
2015,"MUNICIPIO",270050,297,0,267,4,103,91,51,34,12,1,1,0,293,18,21,27,22.85,6,6,24,143,109,7,4,8,1,1,285,0,103,194,126,171,288,8,0,1,2,21,252,8,24,252,8,38,39,40,38.86,38.86,0,68,38,33,145,294,3,141,155,283,5,2,63,44,62,21,64,1,4,8,2,18,294,0,3,0,0,152,145,8,1,1,285,0,21,258,18,2985,3270,3555,3240.16,542.63,17,227,32,4,279,9.05,0.65,2,294
2015,"MUNICIPIO",270060,166,0,159,1,57,41,29,19,13,6,0,0,165,18,23,28.75,23.99,6.99,3,19,74,59,6,5,4,0,0,162,0,72,94,76,90,164,2,0,0,4,10,136,10,14,136,10,38,39,40,38.85,38.85,0,35,16,15,95,166,0,75,91,160,4,0,62,5,37,5,34,3,1,2,0,11,166,0,0,0,0,88,78,4,0,0,162,0,11,144,11,2981.25,3240,3572.5,3244.62,571.66,12,126,18,1,162,9.3,0.71,1,165
2015,"MUNICIPIO",270070,271,0,233,7,68,76,65,42,10,3,0,0,264,19,23,29,24.13,6.14,2,75,87,69,16,10,12,2,0,257,0,92,179,109,162,264,7,0,1,2,26,217,6,29,217,6,38,39,40,38.57,38.57,1,53,36,40,125,69,202,179,92,259,11,0,64,22,77,22,30,2,8,7,0,21,271,0,0,0,0,154,117,12,2,0,257,0,28,231,12,2930,3250,3540,3178.16,601.04,22,202,21,0,271,9.49,0.52,1,261
2015,"MUNICIPIO",270080,71,0,61,0,16,19,17,14,5,0,0,0,71,20,25,30,24.99,5.95,0,9,29,26,3,4,12,1,0,55,0,11,60,25,46,70,1,0,0,0,5,56,2,5,56,2,38,39,40,38.75,38.75,0,16,11,13,27,71,0,30,41,68,3,0,18,5,14,5,13,0,2,1,0,5,71,0,0,0,0,40,31,12,1,0,55,0,2,64,5,2900,3270,3545,3266.11,446.13,4,48,8,0,71,9.28,0.51,0,71
2015,"MUNICIPIO",270090,112,0,84,0,30,34,25,13,9,1,0,0,112,19,23,29,24.41,6.42,5,42,32,23,6,2,2,1,0,109,0,39,73,52,60,106,6,0,0,1,6,85,3,7,85,3,38,39,40,38.73,38.73,0,22,14,19,44,112,0,65,47,100,12,0,29,8,30,2,8,6,2,6,0,7,112,0,0,0,0,62,50,2,1,0,109,0,11,94,7,2886.25,3205,3500,3189.07,650.48,4,79,6,1,111,9.4,0.74,0,98
