"CODMUNRES","ANO","NIVEL","POPR_RA","POPR_RE"
27,2015,"UF",2373094,648215
270010,2015,"MUNICIPIO",13178,NA
270020,2015,"MUNICIPIO",8347,NA
270030,2015,"MUNICIPIO",221212,70000
270040,2015,"MUNICIPIO",NA,NA
270050,2015,"MUNICIPIO",NA,NA
270060,2015,"MUNICIPIO",7031,NA
270070,2015,"MUNICIPIO",13757,4945
270080,2015,"MUNICIPIO",NA,NA
270090,2015,"MUNICIPIO",1854,NA
270100,2015,"MUNICIPIO",18549,NA
270110,2015,"MUNICIPIO",NA,NA
270120,2015,"MUNICIPIO",1935,NA
270130,2015,"MUNICIPIO",17230,2032
270135,2015,"MUNICIPIO",NA,NA
270140,2015,"MUNICIPIO",5205,NA
270150,2015,"MUNICIPIO",8661,NA
270160,2015,"MUNICIPIO",5634,NA
270170,2015,"MUNICIPIO",10023,587
270180,2015,"MUNICIPIO",5674,NA
270190,2015,"MUNICIPIO",NA,NA
270200,2015,"MUNICIPIO",3417,NA
270210,2015,"MUNICIPIO",12433,NA
270220,2015,"MUNICIPIO",3757,NA
270230,2015,"MUNICIPIO",56631,8231
270235,2015,"MUNICIPIO",15009,NA
270240,2015,"MUNICIPIO",50940,44000
270250,2015,"MUNICIPIO",3829,NA
270255,2015,"MUNICIPIO",6313,NA
270260,2015,"MUNICIPIO",8066,NA
270270,2015,"MUNICIPIO",NA,NA
270280,2015,"MUNICIPIO",6852,NA
270290,2015,"MUNICIPIO",16387,NA
270300,2015,"MUNICIPIO",6244,NA
270310,2015,"MUNICIPIO",13758,NA
270320,2015,"MUNICIPIO",6528,NA
270330,2015,"MUNICIPIO",8346,NA
270340,2015,"MUNICIPIO",3622,NA
270350,2015,"MUNICIPIO",4384,926
270360,2015,"MUNICIPIO",3484,NA
270370,2015,"MUNICIPIO",3356,NA
270375,2015,"MUNICIPIO",NA,NA
270380,2015,"MUNICIPIO",14012,NA
270390,2015,"MUNICIPIO",2801,NA
270400,2015,"MUNICIPIO",7888,NA
270410,2015,"MUNICIPIO",13187,NA
270420,2015,"MUNICIPIO",6495,NA
270430,2015,"MUNICIPIO",979479,354519
270440,2015,"MUNICIPIO",9790,NA
270450,2015,"MUNICIPIO",15792,7564
270460,2015,"MUNICIPIO",5690,NA
270470,2015,"MUNICIPIO",50792,13884
270480,2015,"MUNICIPIO",8610,NA
270490,2015,"MUNICIPIO",1587,NA
270500,2015,"MUNICIPIO",9833,NA
270510,2015,"MUNICIPIO",10556,NA
270520,2015,"MUNICIPIO",12373,NA
270530,2015,"MUNICIPIO",1804,NA
270540,2015,"MUNICIPIO",4111,NA
270550,2015,"MUNICIPIO",13282,NA
270560,2015,"MUNICIPIO",5512,NA
270570,2015,"MUNICIPIO",18226,NA
270580,2015,"MUNICIPIO",5656,NA
270590,2015,"MUNICIPIO",2032,NA
270600,2015,"MUNICIPIO",5429,NA
270610,2015,"MUNICIPIO",5058,NA
270620,2015,"MUNICIPIO",3922,NA
270630,2015,"MUNICIPIO",64202,2369
270640,2015,"MUNICIPIO",24878,NA
270642,2015,"MUNICIPIO",7580,NA
270644,2015,"MUNICIPIO",10299,NA
270650,2015,"MUNICIPIO",4973,NA
270660,2015,"MUNICIPIO",5069,1104
270670,2015,"MUNICIPIO",61818,NA
270680,2015,"MUNICIPIO",11038,NA
270690,2015,"MUNICIPIO",34441,4000
270700,2015,"MUNICIPIO",1541,NA
270710,2015,"MUNICIPIO",22243,7316
270720,2015,"MUNICIPIO",3295,NA
270730,2015,"MUNICIPIO",NA,NA
270740,2015,"MUNICIPIO",3321,NA
270750,2015,"MUNICIPIO",NA,NA
270760,2015,"MUNICIPIO",6555,958
270770,2015,"MUNICIPIO",48681,NA
270780,2015,"MUNICIPIO",NA,NA
270790,2015,"MUNICIPIO",5381,NA
270800,2015,"MUNICIPIO",34652,2144
270810,2015,"MUNICIPIO",5714,NA
270820,2015,"MUNICIPIO",3652,NA
270830,2015,"MUNICIPIO",NA,NA
270840,2015,"MUNICIPIO",15568,NA
270850,2015,"MUNICIPIO",NA,NA
270860,2015,"MUNICIPIO",60539,59830
270870,2015,"MUNICIPIO",NA,NA
270880,2015,"MUNICIPIO",10484,NA
270890,2015,"MUNICIPIO",7804,NA
270895,2015,"MUNICIPIO",4190,NA
270900,2015,"MUNICIPIO",NA,NA
270910,2015,"MUNICIPIO",8394,NA
270915,2015,"MUNICIPIO",36960,25310
270920,2015,"MUNICIPIO",10026,NA
270930,2015,"MUNICIPIO",51483,38496
270940,2015,"MUNICIPIO",22750,NA
